x,y
35.4,-38370.9
35.5,46105.6
35.6,-39002.6
35.7,19118.3
35.8,7305.82
35.9,-31800.2
36,46380.1
36.1,-46147
36.2,30930.7
36.3,-5422.78
36.4,-22265.9
36.5,43183
36.6,-50427.2
36.7,41423
36.8,-18827.9
36.9,-10245.4
37,36465.3
37.1,-51275.3
37.2,49684.1
37.3,-31943.9
37.4,3552.75
37.5,26445.7
37.6,-48341.6
37.7,54899.8
37.8,-43748.1
37.9,18224.6
38,13615.5
38.1,-41539.5
38.2,56424.7
38.3,-53236.3
38.4,32726.1
38.5,-1278.6
38.6,-31072.8
38.7,53845.4
38.8,-59502.2
38.9,45943.3
39,-17271.8
39.1,-17442.8
39.2,47030.8
39.3,-61815
39.4,56773.3
39.5,-33239.5
39.6,-1432.52
39.7,36164.3
39.8,-59690.1
39.9,64209.9
40,-47972.1
40.1,15932.5
40.2,21752.9
40.3,-52944.8
40.4,67429.8
40.5,-60261.7
40.6,33445
40.7,4613.26
40.8,-41735.5
40.9,65868.6
41,-68995.8
41.1,49795.5
41.2,-14168.8
41.3,-26570.1
41.4,59284.5
41.5,-73249.5
41.6,63665.8
41.7,-33301.7
41.8,-8295.74
41.9,47799.6
42,-72370.8
42.1,73829.2
42.2,-51372.7
42.3,11942.7
42.4,31917.4
42.5,-66049.9
42.6,79251.3
42.7,-66947.1
42.8,32768.2
42.9,12511.4
43,-54367.4
43.1,79183.1
43.2,-78676.8
43.3,52661
43.4,-9215.95
43.5,-37815.8
43.6,73238.2
43.7,-85409.2
43.8,70064.6
43.9,-31801.6
44,-17290.6
44.1,61447.2
44.2,-86288.9
44.3,83502
44.4,-53615.8
44.5,5950.62
44.6,44284.6
44.7,-80843.2
44.8,91693.5
44.9,-72974.8
45,30358.6
45.1,22662.5
45.2,-69044.3
45.3,93667.7
45.4,-88265.3
45.5,54191.1
45.6,-2109.05
45.7,-51340.5
45.8,88855.7
45.9,-98071.5
46,75631.9
46.1,-28395.4
46.2,-28654.9
46.3,77161.1
46.4,-101296
46.5,92924.2
46.6,-54339.5
46.7,-2345.72
46.8,58998.2
46.9,-97262.6
47,104507
47.1,-77988.1
47.2,25867.9
47.3,35293.7
47.4,-85796.9
47.5,109146
47.6,-97433.4
47.7,54012.4
47.8,7449.75
47.9,-67269.2
48,106047
48.1,-110960
48.2,79993.3
48.3,-22731.9
48.4,-42602.7
48.5,94947.3
48.6,-117186
48.7,101745
48.8,-53160.4
48.9,-13237.9
49,76162.3
49.1,-115190
49.2,117388
49.3,-81595.8
49.4,18943.5
49.5,50603.4
49.6,-104605
49.7,125383
49.8,-105808
49.9,51733.1
50,19743.4
50.1,-85683.1
50.2,124665
